Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5)
0.0002669900952781283,0.08314471283732311,0.0,0.0,0.0,0.0,0.6699999138410012,0.32999982769975506,1.4852147648149906e-12,1.722839774377019e-07,5.858670041197242e-12,2.081800168191496e-11
0.0002865904408986092,0.08314471231150837,0.0,0.0,0.0,0.0,0.669999907514824,0.3299998150501449,1.5090965371490231e-12,1.8493086688435552e-07,6.516597193943823e-12,2.4943485038742925e-11
0.0003061907865190901,0.0831447117857002,0.0,0.0,0.0,0.0,0.6699999011885028,0.3299998024004919,1.5329779289907515e-12,1.975775547034808e-07,7.196042170830017e-12,2.951496462100884e-11
0.000325791132139571,0.08314471125989925,0.0,0.0,0.0,0.0,0.6699998948620381,0.3299997897508029,1.556858914422204e-12,2.1022402716920964e-07,7.89673723182015e-12,3.454669288947664e-11
0.0003453914777600519,0.08314471073410605,0.0,0.0,0.0,0.0,0.6699998885354298,0.32999977710108475,1.5807394675207465e-12,2.228702705562235e-07,8.618490852024815e-12,4.005276902305316e-11
0.0003845921690010137,0.0831447096825453,0.0,0.0,0.0,0.0,0.6699998758817818,0.32999975180158836,1.6284991730611764e-12,2.481620151984094e-07,1.012467564350981e-11,5.254381850381283e-11
0.00041987279111787933,0.083144708736173,0.0,0.0,0.0,0.0,0.6699998644930073,0.3299997290320109,1.6714811695199282e-12,2.7092366425736513e-07,1.1551203276794167e-11,6.554772183594766e-11
0.00045162535102305837,0.08314470788446707,0.0,0.0,0.0,0.0,0.6699998542427122,0.32999970853940047,1.710163428440936e-12,2.914083336356463e-07,1.2892303520204208e-11,7.874754369996072e-11
0.0004903449419808743,0.08314470684592387,0.0,0.0,0.0,0.0,0.6699998417428246,0.329999683550432,1.7573310707464216e-12,3.1638654242608684e-07,1.4600867138875346e-11,9.684971468299742e-11
0.0005290645329386901,0.08314470580742982,0.0,0.0,0.0,0.0,0.6699998292423762,0.3299996585615747,1.8044961771282443e-12,3.4136340776124217e-07,1.638976743234889e-11,1.1725582014251656e-10
0.000567784123896506,0.0831447047689894,0.0,0.0,0.0,0.0,0.6699998167413675,0.32999963357288153,1.851658547957147e-12,3.6633882392932845e-07,1.8258938628149423e-11,1.4007160876088024e-10
0.0006065037148543219,0.08314470373060691,0.0,0.0,0.0,0.0,0.6699998042397982,0.32999960858440525,1.8988179836291258e-12,3.9131268524333983e-07,2.0208323549142285e-11,1.6540278251742102e-10
0.0006452233058121378,0.08314470269228681,0.0,0.0,0.0,0.0,0.6699997917376687,0.3299995835961988,1.9459742846403866e-12,4.162848860420433e-07,2.22378785901947e-11,1.933549857223213e-10
0.0007226624877277695,0.08314470061585127,0.0,0.0,0.0,0.0,0.6699997667317283,0.3299995336208069,2.0402766849432517e-12,4.662238835964761e-07,2.6537363428504676e-11,2.575448085415784e-10
0.0008001016696434013,0.0831446985397179,0.0,0.0,0.0,0.0,0.6699997417235469,0.32999948364712856,2.134564153675421e-12,5.161549718999055e-07,3.115718510060796e-11,3.334852582107837e-10
0.000877540851559033,0.08314469646392181,0.0,0.0,0.0,0.0,0.6699997167131252,0.3299994336755863,2.2288350969383214e-12,5.660773067895323e-07,3.609715576036049e-11,4.2201986960728535e-10
